cve_id,status,repo_url,issues,commits_sha,commits_sha_begin,std_version,edition,备注
CVE-2021-45714,未开始,https://github.com/rusqlite/rusqlite,https://github.com/rusqlite/rusqlite/issues/1048,,,,,
CVE-2021-45715,未开始,https://github.com/rusqlite/rusqlite,https://github.com/rusqlite/rusqlite/issues/1048,,,,,
CVE-2021-45716,未开始,https://github.com/rusqlite/rusqlite,https://github.com/rusqlite/rusqlite/issues/1048,,,,,
CVE-2021-45717,未开始,https://github.com/rusqlite/rusqlite,https://github.com/rusqlite/rusqlite/issues/1048,,,,,
CVE-2021-45718,未开始,https://github.com/rusqlite/rusqlite,https://github.com/rusqlite/rusqlite/issues/1048,,,,,
CVE-2021-45719,未开始,https://github.com/rusqlite/rusqlite,https://github.com/rusqlite/rusqlite/issues/1048,,,,,
CVE-2021-45720,未开始,https://github.com/jeromefroe/lru-rs,https://github.com/jeromefroe/lru-rs/issues/120,,,,,
CVE-2021-45686,未开始,https://github.com/jblondin/csv-sniffer,https://github.com/jblondin/csv-sniffer/issues/1,,,,,
CVE-2018-25023,未开始,https://github.com/servo/rust-smallvec,https://github.com/servo/rust-smallvec/issues/126,e64afc8c473d43e375ab42bd33db2d0d4ac4e41b,,,,
CVE-2021-27376,未开始,https://github.com/smol-rs/nb-connect,https://github.com/smol-rs/nb-connect/issues/1,,,,,
CVE-2021-27377,未开始,https://github.com/YottaDB/Lang,https://gitlab.com/YottaDB/Lang/YDBRust/-/issues/40,,,,,
CVE-2021-26951,未开始,https://github.com/tafia/calamine,https://github.com/tafia/calamine/issues/199,,,,,
CVE-2021-26952,未开始,https://github.com/andrewhickman/ms3d,https://github.com/andrewhickman/ms3d/issues/1,599313b,,,,
CVE-2021-26954,未开始,https://github.com/qwertz19281/rust_utils,https://github.com/qwertz19281/rust_utils/issues/3,20cb73d,,,,
CVE-2021-26957,未开始,https://github.com/RustSec/advisory-db,https://github.com/RustSec/advisory-db/issues/653,,,,,
CVE-2021-26953,未开始,https://github.com/bodoni/postscript,https://github.com/bodoni/postscript/issues/1,8026286,,,,
CVE-2021-29930,未开始,https://github.com/ibabushkin/arenavec,https://github.com/ibabushkin/arenavec/issues/1,,,,,
CVE-2021-29931,未开始,https://github.com/ibabushkin/arenavec,https://github.com/ibabushkin/arenavec/issues/1,,,,,
CVE-2021-29933,未开始,https://github.com/rphmeier/insert_many,https://github.com/rphmeier/insert_many/issues/1,,,,,
CVE-2021-29934,未开始,https://github.com/uutils/coreutils,https://github.com/uutils/coreutils/issues/1729,5935876f38498b0c1f657d031171eb17028def6f,,,,
CVE-2021-29935,未开始,https://github.com/SergioBenitez/Rocket,https://github.com/SergioBenitez/Rocket/issues/1534,e325e2fce4d9f9f392761e9fb58b418a48cef8bb,,,,
CVE-2021-29936,未开始,https://github.com/charles-r-earp/adtensor,https://github.com/charles-r-earp/adtensor/issues/4,,,,,
CVE-2021-29937,未开始,https://github.com/Yoric/telemetry.rs,https://github.com/Yoric/telemetry.rs/issues/45,2820cf12f2e08645fd6d1f15b4a90a54d6082a81,,,,
CVE-2021-29938,未开始,https://github.com/gnzlbg/slice_deque,https://github.com/gnzlbg/slice_deque/issues/90,,,,,
CVE-2021-29939,未开始,https://github.com/Alexhuszagh/rust-stackvector,https://github.com/Alexhuszagh/rust-stackvector/issues/2,,,,,
CVE-2021-29940,未开始,https://github.com/gretchenfrage/through,https://github.com/gretchenfrage/through/issues/1,,,,,
CVE-2021-29941,未开始,https://github.com/tiby312/reorder,https://github.com/tiby312/reorder/issues/1,,,,,
CVE-2021-29942,未开始,https://github.com/tiby312/reorder,https://github.com/tiby312/reorder/issues/1,,,,,
CVE-2021-28306,未开始,https://github.com/MoAlyousef/fltk-rs,https://github.com/MoAlyousef/fltk-rs/issues/519,,,,,
CVE-2021-28308,未开始,https://github.com/MoAlyousef/fltk-rs,https://github.com/MoAlyousef/fltk-rs/issues/519,,,,,
CVE-2021-28027,未开始,https://github.com/tprodanov/bam,https://gitlab.com/tprodanov/bam/-/issues/4,,,,,
